BELNR,BUKRS,GJAHR,BLDAT,BUDAT,BLART,WAERS,BKTXT,XBLNR,USNAM,CPUDT,TCODE,MONAT,NUMPG
0000579981,N3IT,2024,1/31/24,1/31/24,SA,EUR,N3N3 GL Posting 2024-01-31,REF00579981,SAPUSER,1/31/24,FB50,1,2
0000580014,N3IT,2024,1/20/24,1/20/24,RE,EUR,N3N3 Vendor Invoice 2024-01-20,REF00580014,SDPOST,1/20/24,MIRO,1,4
0000580015,N3IT,2024,1/26/24,1/26/24,RV,EUR,N3N3 Revenue Invoice 2024-01-26,REF00580015,SDPOST,1/26/24,F-02,1,6
0000580036,N3IT,2024,1/12/24,1/12/24,RV,EUR,N3N3 Revenue Invoice 2024-01-12,REF00580036,BATCH,1/12/24,FB01,1,6
0000580042,N3IT,2024,1/24/24,1/24/24,RV,EUR,N3N3 Revenue Invoice 2024-01-24,REF00580042,SAPUSER,1/24/24,F-02,1,4
0000580058,N3IT,2024,1/4/24,1/4/24,RV,EUR,N3N3 Revenue Invoice 2024-01-04,REF00580058,BATCH,1/4/24,F-02,1,4
0000580096,N3IT,2024,1/12/24,1/12/24,RV,EUR,N3N3 Revenue Invoice 2024-01-12,REF00580096,SAPUSER,1/12/24,F-02,1,4
0000580107,N3IT,2024,1/19/24,1/19/24,SA,EUR,N3N3 GL Posting 2024-01-19,REF00580107,FIPOST,1/19/24,MIRO,1,2
0000580167,N3IT,2024,1/18/24,1/18/24,SA,EUR,N3N3 GL Posting 2024-01-18,REF00580167,MMPOST,1/18/24,MIRO,1,2
0000580213,N3IT,2024,1/8/24,1/8/24,RV,EUR,N3N3 Revenue Invoice 2024-01-08,REF00580213,FIPOST,1/8/24,FB01,1,4
0000580272,N3SN,2024,1/26/24,1/26/24,SA,XOF,N3N3 GL Posting 2024-01-26,REF00580272,FIPOST,1/26/24,F-02,1,2
0000580277,N3IT,2024,1/11/24,1/11/24,SA,EUR,N3N3 GL Posting 2024-01-11,REF00580277,SAPUSER,1/11/24,FB50,1,2
0000580286,N3IT,2024,1/9/24,1/9/24,SA,EUR,N3N3 GL Posting 2024-01-09,REF00580286,SAPUSER,1/9/24,F-02,1,6
0000580291,N3IT,2024,1/13/24,1/13/24,RV,EUR,N3N3 Revenue Invoice 2024-01-13,REF00580291,SDPOST,1/13/24,FB50,1,4
0000580350,N3IT,2024,1/6/24,1/6/24,RV,EUR,N3N3 Revenue Invoice 2024-01-06,REF00580350,BATCH,1/6/24,MIRO,1,6
0000580394,N3IT,2024,1/19/24,1/19/24,RV,EUR,N3N3 Revenue Invoice 2024-01-19,REF00580394,BATCH,1/19/24,FB50,1,6
0000580407,N3SN,2024,1/29/24,1/29/24,RE,XOF,N3N3 Vendor Invoice 2024-01-29,REF00580407,SAPUSER,1/29/24,FB01,1,2
0000580433,N3IT,2024,1/23/24,1/23/24,RV,EUR,N3N3 Revenue Invoice 2024-01-23,REF00580433,SDPOST,1/23/24,F-02,1,4
0000580438,N3SN,2024,1/8/24,1/8/24,RV,XOF,N3N3 Revenue Invoice 2024-01-08,REF00580438,MMPOST,1/8/24,VF01,1,6
0000580475,N3IT,2024,1/6/24,1/6/24,RE,EUR,N3N3 Vendor Invoice 2024-01-06,REF00580475,MMPOST,1/6/24,VF01,1,2
0000580534,N3IT,2024,1/26/24,1/26/24,RE,EUR,N3N3 Vendor Invoice 2024-01-26,REF00580534,BATCH,1/26/24,FB50,1,2
0000580558,N3IT,2024,1/28/24,1/28/24,SA,EUR,N3N3 GL Posting 2024-01-28,REF00580558,MMPOST,1/28/24,FB50,1,7
0000580559,N3SN,2024,1/6/24,1/6/24,SA,XOF,N3N3 GL Posting 2024-01-06,REF00580559,FIPOST,1/6/24,FB50,1,6
0000580693,N3SN,2024,1/24/24,1/24/24,RE,XOF,N3N3 Vendor Invoice 2024-01-24,REF00580693,MMPOST,1/24/24,VF01,1,2
0000580725,N3IT,2024,1/29/24,1/29/24,SA,EUR,N3N3 GL Posting 2024-01-29,REF00580725,SAPUSER,1/29/24,FB01,1,2
0000580803,N3IT,2024,1/25/24,1/25/24,RV,EUR,N3N3 Revenue Invoice 2024-01-25,REF00580803,FIPOST,1/25/24,F-02,1,4
0000580825,N3IT,2024,1/29/24,1/29/24,RE,EUR,N3N3 Vendor Invoice 2024-01-29,REF00580825,FIPOST,1/29/24,F-02,1,2
0000580886,N3IT,2024,1/23/24,1/23/24,SA,EUR,N3N3 GL Posting 2024-01-23,REF00580886,MMPOST,1/23/24,VF01,1,6
0000580902,N3IT,2024,1/12/24,1/12/24,RV,EUR,N3N3 Revenue Invoice 2024-01-12,REF00580902,FIPOST,1/12/24,FB01,1,4
0000580955,N3IT,2024,1/28/24,1/28/24,RE,EUR,N3N3 Vendor Invoice 2024-01-28,REF00580955,SDPOST,1/28/24,MIRO,1,2
0000580979,N3IT,2024,1/9/24,1/9/24,RE,EUR,N3N3 Vendor Invoice 2024-01-09,REF00580979,SAPUSER,1/9/24,MIRO,1,2
0000581039,N3IT,2024,1/21/24,1/21/24,RV,EUR,N3N3 Revenue Invoice 2024-01-21,REF00581039,BATCH,1/21/24,FB01,1,6
0000581045,N3IT,2024,1/22/24,1/22/24,SA,EUR,N3N3 GL Posting 2024-01-22,REF00581045,SAPUSER,1/22/24,FB01,1,2
0000581130,N3SN,2024,1/18/24,1/18/24,RE,XOF,N3N3 Vendor Invoice 2024-01-18,REF00581130,SAPUSER,1/18/24,VF01,1,2
0000581144,N3IT,2024,1/10/24,1/10/24,RV,EUR,N3N3 Revenue Invoice 2024-01-10,REF00581144,BATCH,1/10/24,VF01,1,4
0000581220,N3IT,2024,1/13/24,1/13/24,RE,EUR,N3N3 Vendor Invoice 2024-01-13,REF00581220,MMPOST,1/13/24,FB50,1,2
0000581270,N3IT,2024,1/17/24,1/17/24,RV,EUR,N3N3 Revenue Invoice 2024-01-17,REF00581270,MMPOST,1/17/24,FB50,1,6
0000581280,N3IT,2024,1/25/24,1/25/24,SA,EUR,N3N3 GL Posting 2024-01-25,REF00581280,SAPUSER,1/25/24,FB50,1,2
0000581281,N3SN,2024,1/12/24,1/12/24,RV,XOF,N3N3 Revenue Invoice 2024-01-12,REF00581281,BATCH,1/12/24,MIRO,1,4
0000581312,N3IT,2024,1/2/24,1/2/24,SA,EUR,N3N3 GL Posting 2024-01-02,REF00581312,FIPOST,1/2/24,MIRO,1,2
0000581345,N3IT,2024,1/8/24,1/8/24,RV,EUR,N3N3 Revenue Invoice 2024-01-08,REF00581345,MMPOST,1/8/24,FB50,1,4
0000581360,N3SN,2024,1/17/24,1/17/24,RE,XOF,N3N3 Vendor Invoice 2024-01-17,REF00581360,SAPUSER,1/17/24,VF01,1,2
0000581368,N3IT,2024,1/18/24,1/18/24,RV,EUR,N3N3 Revenue Invoice 2024-01-18,REF00581368,MMPOST,1/18/24,FB01,1,4
0000581371,N3IT,2024,1/16/24,1/16/24,RV,EUR,N3N3 Revenue Invoice 2024-01-16,REF00581371,MMPOST,1/16/24,VF01,1,4
0000581373,N3IT,2024,1/26/24,1/26/24,RV,EUR,N3N3 Revenue Invoice 2024-01-26,REF00581373,SDPOST,1/26/24,MIRO,1,6
0000581397,N3IT,2024,1/6/24,1/6/24,RV,EUR,N3N3 Revenue Invoice 2024-01-06,REF00581397,BATCH,1/6/24,MIRO,1,6
0000581401,N3SN,2024,1/5/24,1/5/24,RV,XOF,N3N3 Revenue Invoice 2024-01-05,REF00581401,SAPUSER,1/5/24,FB01,1,6
0000581421,N3SN,2024,1/18/24,1/18/24,RV,XOF,N3N3 Revenue Invoice 2024-01-18,REF00581421,MMPOST,1/18/24,MIRO,1,4
0000581457,N3SN,2024,1/8/24,1/8/24,RE,XOF,N3N3 Vendor Invoice 2024-01-08,REF00581457,BATCH,1/8/24,MIRO,1,2
0000581471,N3IT,2024,1/31/24,1/31/24,RE,EUR,N3N3 Vendor Invoice 2024-01-31,REF00581471,FIPOST,1/31/24,MIRO,1,4
0000581502,N3IT,2024,1/31/24,1/31/24,SA,EUR,N3N3 GL Posting 2024-01-31,REF00581502,MMPOST,1/31/24,VF01,1,2
0000581544,N3IT,2024,1/3/24,1/3/24,RV,EUR,N3N3 Revenue Invoice 2024-01-03,REF00581544,BATCH,1/3/24,FB01,1,6
0000581664,N3SN,2024,1/10/24,1/10/24,RV,XOF,N3N3 Revenue Invoice 2024-01-10,REF00581664,SAPUSER,1/10/24,FB50,1,4
0000581669,N3SN,2024,1/29/24,1/29/24,RV,XOF,N3N3 Revenue Invoice 2024-01-29,REF00581669,FIPOST,1/29/24,FB50,1,4
0000581682,N3IT,2024,1/3/24,1/3/24,RV,EUR,N3N3 Revenue Invoice 2024-01-03,REF00581682,SAPUSER,1/3/24,MIRO,1,4
0000581699,N3IT,2024,1/28/24,1/28/24,SA,EUR,N3N3 GL Posting 2024-01-28,REF00581699,SDPOST,1/28/24,FB50,1,7
0000581779,N3IT,2024,1/2/24,1/2/24,RV,EUR,N3N3 Revenue Invoice 2024-01-02,REF00581779,SAPUSER,1/2/24,F-02,1,4
0000581802,N3IT,2024,1/27/24,1/27/24,RV,EUR,N3N3 Revenue Invoice 2024-01-27,REF00581802,BATCH,1/27/24,F-02,1,6
0000581891,N3IT,2024,1/31/24,1/31/24,RE,EUR,N3N3 Vendor Invoice 2024-01-31,REF00581891,SAPUSER,1/31/24,FB50,1,2
0000581929,N3IT,2024,1/11/24,1/11/24,RE,EUR,N3N3 Vendor Invoice 2024-01-11,REF00581929,SAPUSER,1/11/24,F-02,1,2
0000581979,N3IT,2024,1/27/24,1/27/24,RV,EUR,N3N3 Revenue Invoice 2024-01-27,REF00581979,BATCH,1/27/24,VF01,1,6
0000581981,N3IT,2024,1/8/24,1/8/24,RE,EUR,N3N3 Vendor Invoice 2024-01-08,REF00581981,BATCH,1/8/24,VF01,1,4
0000582001,N3IT,2024,1/25/24,1/25/24,SA,EUR,N3N3 GL Posting 2024-01-25,REF00582001,BATCH,1/25/24,MIRO,1,2
0000582040,N3IT,2024,1/12/24,1/12/24,RV,EUR,N3N3 Revenue Invoice 2024-01-12,REF00582040,MMPOST,1/12/24,VF01,1,4
0000582043,N3SN,2024,1/4/24,1/4/24,RV,XOF,N3N3 Revenue Invoice 2024-01-04,REF00582043,FIPOST,1/4/24,FB50,1,4
0000582063,N3IT,2024,1/23/24,1/23/24,RE,EUR,N3N3 Vendor Invoice 2024-01-23,REF00582063,MMPOST,1/23/24,FB01,1,2
0000582141,N3IT,2024,1/7/24,1/7/24,RV,EUR,N3N3 Revenue Invoice 2024-01-07,REF00582141,MMPOST,1/7/24,FB50,1,6
0000582217,N3IT,2024,1/28/24,1/28/24,RE,EUR,N3N3 Vendor Invoice 2024-01-28,REF00582217,MMPOST,1/28/24,FB50,1,2
0000582275,N3IT,2024,1/12/24,1/12/24,RE,EUR,N3N3 Vendor Invoice 2024-01-12,REF00582275,BATCH,1/12/24,FB50,1,4
0000582352,N3SN,2024,1/16/24,1/16/24,RV,XOF,N3N3 Revenue Invoice 2024-01-16,REF00582352,BATCH,1/16/24,VF01,1,4
0000582361,N3SN,2024,1/27/24,1/27/24,RV,XOF,N3N3 Revenue Invoice 2024-01-27,REF00582361,SAPUSER,1/27/24,F-02,1,4
0000582363,N3IT,2024,1/23/24,1/23/24,RE,EUR,N3N3 Vendor Invoice 2024-01-23,REF00582363,MMPOST,1/23/24,VF01,1,4
0000582379,N3IT,2024,1/22/24,1/22/24,SA,EUR,N3N3 GL Posting 2024-01-22,REF00582379,SDPOST,1/22/24,FB01,1,5
0000582387,N3IT,2024,1/8/24,1/8/24,RV,EUR,N3N3 Revenue Invoice 2024-01-08,REF00582387,SDPOST,1/8/24,VF01,1,4
0000582422,N3IT,2024,1/13/24,1/13/24,RV,EUR,N3N3 Revenue Invoice 2024-01-13,REF00582422,BATCH,1/13/24,F-02,1,4
0000582449,N3IT,2024,1/14/24,1/14/24,RV,EUR,N3N3 Revenue Invoice 2024-01-14,REF00582449,FIPOST,1/14/24,VF01,1,4
0000582459,N3IT,2024,1/26/24,1/26/24,RV,EUR,N3N3 Revenue Invoice 2024-01-26,REF00582459,SDPOST,1/26/24,FB50,1,4
0000582464,N3IT,2024,1/26/24,1/26/24,RV,EUR,N3N3 Revenue Invoice 2024-01-26,REF00582464,MMPOST,1/26/24,FB50,1,4
0000582517,N3IT,2024,1/7/24,1/7/24,RE,EUR,N3N3 Vendor Invoice 2024-01-07,REF00582517,BATCH,1/7/24,FB01,1,2
0000582523,N3SN,2024,1/2/24,1/2/24,RV,XOF,N3N3 Revenue Invoice 2024-01-02,REF00582523,MMPOST,1/2/24,FB01,1,4
0000582565,N3SN,2024,1/14/24,1/14/24,SA,XOF,N3N3 GL Posting 2024-01-14,REF00582565,FIPOST,1/14/24,F-02,1,6
0000582572,N3IT,2024,1/21/24,1/21/24,RV,EUR,N3N3 Revenue Invoice 2024-01-21,REF00582572,FIPOST,1/21/24,FB50,1,6
0000582599,N3IT,2024,1/25/24,1/25/24,RV,EUR,N3N3 Revenue Invoice 2024-01-25,REF00582599,SDPOST,1/25/24,FB50,1,4
0000582678,N3IT,2024,1/20/24,1/20/24,RE,EUR,N3N3 Vendor Invoice 2024-01-20,REF00582678,SDPOST,1/20/24,VF01,1,2
0000582779,N3IT,2024,1/10/24,1/10/24,RV,EUR,N3N3 Revenue Invoice 2024-01-10,REF00582779,MMPOST,1/10/24,FB01,1,4
0000582831,N3IT,2024,1/13/24,1/13/24,RE,EUR,N3N3 Vendor Invoice 2024-01-13,REF00582831,SDPOST,1/13/24,VF01,1,2
0000582860,N3IT,2024,1/6/24,1/6/24,RE,EUR,N3N3 Vendor Invoice 2024-01-06,REF00582860,BATCH,1/6/24,MIRO,1,4
0000582921,N3SN,2024,1/12/24,1/12/24,RV,XOF,N3N3 Revenue Invoice 2024-01-12,REF00582921,MMPOST,1/12/24,FB01,1,4
0000582994,N3SN,2024,1/18/24,1/18/24,RV,XOF,N3N3 Revenue Invoice 2024-01-18,REF00582994,MMPOST,1/18/24,FB01,1,4
0000583079,N3SN,2024,1/5/24,1/5/24,RV,XOF,N3N3 Revenue Invoice 2024-01-05,REF00583079,FIPOST,1/5/24,FB01,1,6
0000583103,N3SN,2024,1/31/24,1/31/24,SA,XOF,N3N3 GL Posting 2024-01-31,REF00583103,FIPOST,1/31/24,FB50,1,2
0000583145,N3SN,2024,1/24/24,1/24/24,RE,XOF,N3N3 Vendor Invoice 2024-01-24,REF00583145,SDPOST,1/24/24,F-02,1,4
0000583149,N3IT,2024,1/19/24,1/19/24,SA,EUR,N3N3 GL Posting 2024-01-19,REF00583149,BATCH,1/19/24,VF01,1,4
0000583186,N3IT,2024,1/6/24,1/6/24,RV,EUR,N3N3 Revenue Invoice 2024-01-06,REF00583186,MMPOST,1/6/24,MIRO,1,4
0000583204,N3SN,2024,1/8/24,1/8/24,RE,XOF,N3N3 Vendor Invoice 2024-01-08,REF00583204,SDPOST,1/8/24,FB01,1,4
0000583234,N3IT,2024,1/31/24,1/31/24,RV,EUR,N3N3 Revenue Invoice 2024-01-31,REF00583234,MMPOST,1/31/24,MIRO,1,6
0000583243,N3IT,2024,1/3/24,1/3/24,RE,EUR,N3N3 Vendor Invoice 2024-01-03,REF00583243,SDPOST,1/3/24,MIRO,1,2
0000583279,N3IT,2024,1/5/24,1/5/24,SA,EUR,N3N3 GL Posting 2024-01-05,REF00583279,MMPOST,1/5/24,F-02,1,2
0000583306,N3IT,2024,1/27/24,1/27/24,SA,EUR,N3N3 GL Posting 2024-01-27,REF00583306,FIPOST,1/27/24,VF01,1,7
0000583352,N3IT,2024,1/21/24,1/21/24,RV,EUR,N3N3 Revenue Invoice 2024-01-21,REF00583352,MMPOST,1/21/24,FB01,1,4
0000583446,N3IT,2024,1/3/24,1/3/24,RV,EUR,N3N3 Revenue Invoice 2024-01-03,REF00583446,FIPOST,1/3/24,FB01,1,6
0000583497,N3SN,2024,1/21/24,1/21/24,RV,XOF,N3N3 Revenue Invoice 2024-01-21,REF00583497,BATCH,1/21/24,F-02,1,4
0000583508,N3IT,2024,1/18/24,1/18/24,RE,EUR,N3N3 Vendor Invoice 2024-01-18,REF00583508,SDPOST,1/18/24,VF01,1,4
0000583557,N3IT,2024,1/20/24,1/20/24,RV,EUR,N3N3 Revenue Invoice 2024-01-20,REF00583557,SDPOST,1/20/24,F-02,1,4
0000583586,N3IT,2024,1/8/24,1/8/24,RV,EUR,N3N3 Revenue Invoice 2024-01-08,REF00583586,MMPOST,1/8/24,F-02,1,4
0000583682,N3IT,2024,1/29/24,1/29/24,RE,EUR,N3N3 Vendor Invoice 2024-01-29,REF00583682,FIPOST,1/29/24,MIRO,1,4
0000583804,N3SN,2024,1/7/24,1/7/24,RV,XOF,N3N3 Revenue Invoice 2024-01-07,REF00583804,FIPOST,1/7/24,MIRO,1,4
0000583841,N3IT,2024,1/19/24,1/19/24,SA,EUR,N3N3 GL Posting 2024-01-19,REF00583841,FIPOST,1/19/24,VF01,1,2
0000583871,N3IT,2024,1/12/24,1/12/24,RE,EUR,N3N3 Vendor Invoice 2024-01-12,REF00583871,SAPUSER,1/12/24,FB01,1,2
0000583877,N3IT,2024,1/5/24,1/5/24,RV,EUR,N3N3 Revenue Invoice 2024-01-05,REF00583877,SAPUSER,1/5/24,FB50,1,4
0000583945,N3IT,2024,1/4/24,1/4/24,RV,EUR,N3N3 Revenue Invoice 2024-01-04,REF00583945,SAPUSER,1/4/24,FB50,1,4
0000583956,N3SN,2024,1/14/24,1/14/24,SA,XOF,N3N3 GL Posting 2024-01-14,REF00583956,SAPUSER,1/14/24,F-02,1,6
0000583967,N3IT,2024,1/26/24,1/26/24,SA,EUR,N3N3 GL Posting 2024-01-26,REF00583967,BATCH,1/26/24,F-02,1,5
0000583972,N3IT,2024,1/3/24,1/3/24,RV,EUR,N3N3 Revenue Invoice 2024-01-03,REF00583972,SAPUSER,1/3/24,MIRO,1,6
0000583975,N3IT,2024,1/5/24,1/5/24,RE,EUR,N3N3 Vendor Invoice 2024-01-05,REF00583975,BATCH,1/5/24,FB50,1,4
0000583982,N3IT,2024,1/28/24,1/28/24,RE,EUR,N3N3 Vendor Invoice 2024-01-28,REF00583982,BATCH,1/28/24,MIRO,1,2
0000584019,N3IT,2024,1/13/24,1/13/24,RV,EUR,N3N3 Revenue Invoice 2024-01-13,REF00584019,MMPOST,1/13/24,F-02,1,4
0000584048,N3SN,2024,1/22/24,1/22/24,RV,XOF,N3N3 Revenue Invoice 2024-01-22,REF00584048,FIPOST,1/22/24,VF01,1,4
0000584065,N3SN,2024,1/23/24,1/23/24,RV,XOF,N3N3 Revenue Invoice 2024-01-23,REF00584065,BATCH,1/23/24,MIRO,1,6
0000584086,N3SN,2024,1/18/24,1/18/24,RV,XOF,N3N3 Revenue Invoice 2024-01-18,REF00584086,MMPOST,1/18/24,F-02,1,6
0000584139,N3IT,2024,1/14/24,1/14/24,RV,EUR,N3N3 Revenue Invoice 2024-01-14,REF00584139,BATCH,1/14/24,MIRO,1,4
0000584140,N3IT,2024,1/28/24,1/28/24,RV,EUR,N3N3 Revenue Invoice 2024-01-28,REF00584140,SDPOST,1/28/24,FB01,1,6
0000584166,N3IT,2024,1/17/24,1/17/24,RV,EUR,N3N3 Revenue Invoice 2024-01-17,REF00584166,SAPUSER,1/17/24,F-02,1,4
0000584262,N3IT,2024,1/28/24,1/28/24,SA,EUR,N3N3 GL Posting 2024-01-28,REF00584262,SAPUSER,1/28/24,FB50,1,6
0000584347,N3IT,2024,1/27/24,1/27/24,RV,EUR,N3N3 Revenue Invoice 2024-01-27,REF00584347,MMPOST,1/27/24,MIRO,1,6
0000584376,N3IT,2024,1/12/24,1/12/24,RV,EUR,N3N3 Revenue Invoice 2024-01-12,REF00584376,FIPOST,1/12/24,F-02,1,6
0000584397,N3IT,2024,1/3/24,1/3/24,RE,EUR,N3N3 Vendor Invoice 2024-01-03,REF00584397,SAPUSER,1/3/24,FB01,1,2
0000584404,N3IT,2024,1/27/24,1/27/24,RV,EUR,N3N3 Revenue Invoice 2024-01-27,REF00584404,SDPOST,1/27/24,FB50,1,6
0000584410,N3IT,2024,1/12/24,1/12/24,RV,EUR,N3N3 Revenue Invoice 2024-01-12,REF00584410,SAPUSER,1/12/24,MIRO,1,4
0000584478,N3SN,2024,1/27/24,1/27/24,SA,XOF,N3N3 GL Posting 2024-01-27,REF00584478,BATCH,1/27/24,FB01,1,2
0000584483,N3IT,2024,1/23/24,1/23/24,RV,EUR,N3N3 Revenue Invoice 2024-01-23,REF00584483,BATCH,1/23/24,F-02,1,4
0000584497,N3IT,2024,1/8/24,1/8/24,RV,EUR,N3N3 Revenue Invoice 2024-01-08,REF00584497,FIPOST,1/8/24,F-02,1,4
0000584504,N3IT,2024,1/11/24,1/11/24,SA,EUR,N3N3 GL Posting 2024-01-11,REF00584504,MMPOST,1/11/24,FB01,1,2
0000584507,N3IT,2024,1/26/24,1/26/24,RV,EUR,N3N3 Revenue Invoice 2024-01-26,REF00584507,BATCH,1/26/24,F-02,1,4
0000584512,N3IT,2024,1/23/24,1/23/24,RE,EUR,N3N3 Vendor Invoice 2024-01-23,REF00584512,SAPUSER,1/23/24,FB50,1,4
0000584528,N3IT,2024,1/2/24,1/2/24,RE,EUR,N3N3 Vendor Invoice 2024-01-02,REF00584528,SDPOST,1/2/24,MIRO,1,4
0000584534,N3IT,2024,1/22/24,1/22/24,RE,EUR,N3N3 Vendor Invoice 2024-01-22,REF00584534,BATCH,1/22/24,VF01,1,2
0000584592,N3IT,2024,1/20/24,1/20/24,RE,EUR,N3N3 Vendor Invoice 2024-01-20,REF00584592,SAPUSER,1/20/24,F-02,1,2
0000584618,N3SN,2024,1/4/24,1/4/24,RV,XOF,N3N3 Revenue Invoice 2024-01-04,REF00584618,SDPOST,1/4/24,FB01,1,4
0000584635,N3IT,2024,1/28/24,1/28/24,RV,EUR,N3N3 Revenue Invoice 2024-01-28,REF00584635,BATCH,1/28/24,FB50,1,4
0000584687,N3IT,2024,1/6/24,1/6/24,RV,EUR,N3N3 Revenue Invoice 2024-01-06,REF00584687,SAPUSER,1/6/24,VF01,1,4
0000584730,N3IT,2024,1/14/24,1/14/24,RV,EUR,N3N3 Revenue Invoice 2024-01-14,REF00584730,FIPOST,1/14/24,MIRO,1,4
0000584780,N3IT,2024,1/31/24,1/31/24,RE,EUR,N3N3 Vendor Invoice 2024-01-31,REF00584780,FIPOST,1/31/24,VF01,1,2
0000584876,N3IT,2024,1/19/24,1/19/24,SA,EUR,N3N3 GL Posting 2024-01-19,REF00584876,SDPOST,1/19/24,VF01,1,2
0000584890,N3IT,2024,1/10/24,1/10/24,RV,EUR,N3N3 Revenue Invoice 2024-01-10,REF00584890,SAPUSER,1/10/24,F-02,1,4
0000584896,N3IT,2024,1/14/24,1/14/24,RV,EUR,N3N3 Revenue Invoice 2024-01-14,REF00584896,BATCH,1/14/24,MIRO,1,4
0000584974,N3IT,2024,1/4/24,1/4/24,RE,EUR,N3N3 Vendor Invoice 2024-01-04,REF00584974,BATCH,1/4/24,FB50,1,2
0000584989,N3IT,2024,1/30/24,1/30/24,RE,EUR,N3N3 Vendor Invoice 2024-01-30,REF00584989,SDPOST,1/30/24,F-02,1,2
0000585021,N3IT,2024,1/3/24,1/3/24,RE,EUR,N3N3 Vendor Invoice 2024-01-03,REF00585021,MMPOST,1/3/24,FB01,1,2
0000585060,N3IT,2024,1/8/24,1/8/24,RV,EUR,N3N3 Revenue Invoice 2024-01-08,REF00585060,FIPOST,1/8/24,VF01,1,4
0000585114,N3IT,2024,1/31/24,1/31/24,SA,EUR,N3N3 GL Posting 2024-01-31,REF00585114,SAPUSER,1/31/24,FB01,1,2
0000585197,N3IT,2024,1/20/24,1/20/24,RV,EUR,N3N3 Revenue Invoice 2024-01-20,REF00585197,SDPOST,1/20/24,VF01,1,4
0000585205,N3IT,2024,1/3/24,1/3/24,RV,EUR,N3N3 Revenue Invoice 2024-01-03,REF00585205,FIPOST,1/3/24,MIRO,1,4
0000585328,N3IT,2024,1/6/24,1/6/24,RE,EUR,N3N3 Vendor Invoice 2024-01-06,REF00585328,MMPOST,1/6/24,MIRO,1,2
0000585433,N3SN,2024,1/8/24,1/8/24,RV,XOF,N3N3 Revenue Invoice 2024-01-08,REF00585433,FIPOST,1/8/24,MIRO,1,4
0000585435,N3IT,2024,1/23/24,1/23/24,SA,EUR,N3N3 GL Posting 2024-01-23,REF00585435,SDPOST,1/23/24,F-02,1,2
0000585455,N3IT,2024,1/22/24,1/22/24,RV,EUR,N3N3 Revenue Invoice 2024-01-22,REF00585455,MMPOST,1/22/24,FB50,1,6
0000585491,N3IT,2024,1/30/24,1/30/24,RV,EUR,N3N3 Revenue Invoice 2024-01-30,REF00585491,SAPUSER,1/30/24,MIRO,1,4
0000585579,N3SN,2024,1/24/24,1/24/24,RV,XOF,N3N3 Revenue Invoice 2024-01-24,REF00585579,BATCH,1/24/24,F-02,1,6
0000585584,N3IT,2024,1/1/24,1/1/24,RV,EUR,N3N3 Revenue Invoice 2024-01-01,REF00585584,MMPOST,1/1/24,F-02,1,6
0000585636,N3IT,2024,1/10/24,1/10/24,RV,EUR,N3N3 Revenue Invoice 2024-01-10,REF00585636,SDPOST,1/10/24,VF01,1,4
0000585813,N3IT,2024,1/6/24,1/6/24,RV,EUR,N3N3 Revenue Invoice 2024-01-06,REF00585813,SDPOST,1/6/24,MIRO,1,4
